CircuitID,CircuitName,Country,CircuitLength_km,Turns
1,Bahrain International Circuit,Bahrain,5.41,15
2,Autodromo Internazionale Enzo e Dino Ferrari,Italy,4.90,19
3,Autódromo Internacional do Algarve,Portugal,4.65,15
4,Circuit de Barcelona-Catalunya,Spain,4.65,14
5,Circuit de Monaco,Monaco,3.34,19
6,Baku City Circuit,Azerbaijan,6.00,20
7,Circuit Paul Ricard,France,5.84,15
8,Red Bull Ring,Austria,4.33,10
9,Silverstone Circuit,Great Britain,5.89,18
10,Hungaroring,Hungary,4.38,14
11,Circuit de Spa-Francorchamps,Belgium,7.00,19
12,Circuit Zandvoort,Netherlands,4.26,14
13,Autodromo Nazionale Monza,Italy,5.79,11
14,Sochi Autodrom,Russia,5.85,19
15,Istanbul Park,Turkey,5.34,14
16,COTA,United States,5.51,20
17,Autodromo Hermanos Rodriguez,Mexico,4.30,17
18,Autodromo Jose Carlos Pace,Brazil,4.31,15
19,Losail International Circuit,Qatar,5.42,16
20,Jeddah Corniche Circuit,Saudi Arabia,6.17,27
21,Yas Marina Circuit,United Arab Emirates,5.28,16
22,Albert Park Grand Prix Circuit,Australia,5.28,14
23,Miami International Autodrome,United States,5.41,19
24,Circuit Gilles Villeneuve,Canada,4.36,14
25,Marina Bay Street Circuit,Singapore,4.93,19
26,Suzuka International Racing Course,Japan,5.81,18
27,Las Vegas Strip Circuit,United States,6.20,17
28,Shanghai International Circuit,China,5.45,16